ADDR:	 DIN:	 DOUT:	
0	 cdd9	 0	
1	 b299	 cdd9	
2	 5b96	 b299	
3	 17de	 5b96	
4	 d68c	 17de	
5	 bcf4	 d68c	
6	 8292	 bcf4	
7	 a465	 8292	
8	 6f8e	 a465	
9	 de28	 6f8e	
a	 bc43	 de28	
b	 461a	 bc43	
c	 9b1d	 461a	
d	 3ed6	 9b1d	
e	 ea80	 3ed6	
f	 aab	 ea80	
10	 1cfe	 aab	
11	 a6c3	 1cfe	
12	 50c5	 a6c3	
13	 b81b	 50c5	
14	 e599	 b81b	
15	 3b45	 e599	
16	 c2c6	 3b45	
17	 298	 c2c6	
18	 e209	 298	
19	 138c	 e209	
1a	 bab3	 138c	
1b	 c7a2	 bab3	
1c	 4ed1	 c7a2	
1d	 7d7a	 4ed1	
1e	 ca3a	 7d7a	
1f	 30da	 ca3a	
20	 9106	 30da	
21	 84ee	 9106	
22	 f87d	 84ee	
23	 dfd7	 f87d	
24	 268	 dfd7	
25	 c2b7	 268	
26	 10b2	 c2b7	
27	 936e	 10b2	
28	 47a5	 936e	
29	 92f	 47a5	
2a	 7345	 92f	
2b	 4a0d	 7345	
2c	 cbe6	 4a0d	
2d	 83f7	 cbe6	
2e	 dd7b	 83f7	
2f	 138c	 dd7b	
30	 8d26	 138c	
31	 50c1	 8d26	
